Name,BMAG,Vmax,Dist,Dist_lyr,z,Luminosity,Mass
UGC10502,-21.2,163,61.2,0.014247512890792293,0.014453438441301002,46989410860.52161,234947054302.60803
UGC10521,-20.2,124,18.0,0.004190444967880086,0.0042080786900512545,18706821403.658016,93534107018.29008
UGC10546,-19.1,106,20.4,0.00474917096359743,0.004771833215346885,6792036326.171857,33960181630.859283
UGC10564,-17.6,75,18.4,0.004283565967166309,0.004301993841577047,1706082389.0031278,8530411945.015639
UGC10652,-17.7,141,18.2,0.0042370054675231975,0.00425503407014289,1870682140.3658016,9353410701.829008
UGC10713,-19.0,105,18.3,0.004260285717344754,0.004278513406903653,6194410750.767837,30972053753.839184
UGC10757,-17.7,81,19.5,0.004539648715203426,0.004560351107248323,1870682140.3658016,9353410701.829008
UGC10791,-16.7,95,21.7,0.0050518142112776585,0.0050774646191981835,744731973.9059888,3723659869.529944
UGC10897,-19.5,113,20.5,0.004772451213418986,0.004795336723986126,9817479430.199863,49087397150.99931
UGC11012,-18.7,117,5.3,0.0012338532405424697,0.00123537751509276,4698941086.05216,23494705430.260803
UGC11124,-18.6,96,23.7,0.005517419207708779,0.0055480300150789206,4285485203.9744096,21427426019.872047
UGC11218,-20.8,185,22.8,0.0053078969593147755,0.005336221070911297,32508729738.543472,162543648692.71735
UGC11269,-19.9,202,35.0,0.008148087437544612,0.008215024172806179,14190575216.890955,70952876084.45477
UGC11283,-19.3,173,31.3,0.007286718194147038,0.0073402041935932485,8165823713.585939,40829118567.929695
UGC11300,-17.8,112,8.4,0.0019555409850107066,0.0019593726184710344,2051162178.8255708,10255810894.127853
UGC11332,-19.5,91,23.0,0.005354457458957887,0.0053832820134886855,9817479430.199863,49087397150.99931
UGC11407,-20.8,158,35.8,0.008334329436117059,0.008404374259903516,32508729738.543472,162543648692.71735
UGC11429,-21.8,232,65.2,0.015178722883654534,0.015412667492419886,81658237135.85939,408291185679.29694
UGC11466,-18.5,133,14.2,0.003305795474660956,0.0033167600048756105,3908408957.924025,19542044789.620125
UGC11470,-21.3,380,50.8,0.011826366909350463,0.011967903729997193,51522864458.17583,257614322290.87915
UGC11498,-20.5,274,44.9,0.010452832169878657,0.01056324802869137,24660393372.343464,123301966861.71732
UGC11557,-18.4,105,19.7,0.004586209214846538,0.004607339437430407,3564511334.262439,17822556671.312195
UGC11597,-20.6,154,5.9,0.001373534739471806,0.001375423932023942,27039583641.088573,135197918205.44287
UGC11670,-19.4,190,12.8,0.0029798719771591724,0.0029887781534245076,8953647655.495937,44768238277.47969
UGC11707,-16.6,97,15.9,0.0037015597216274094,0.003715312171514761,679203632.6171857,3396018163.0859284
UGC11852,-20.2,221,80.1,0.01864748010706638,0.019001816094690253,18706821403.658016,93534107018.29008
UGC11861,-20.2,181,25.1,0.005843342705210565,0.005877688050805744,18706821403.658016,93534107018.29008
UGC11872,-20.0,183,18.1,0.004213725217701642,0.004231555831217757,15559656316.05075,77798281580.25375
UGC11891,-16.4,83,9.0,0.002095222483940043,0.0020996216584465875,564936974.8123034,2824684874.0615172
UGC11909,-19.3,110,17.7,0.004120604218415417,0.004137653852333686,8165823713.585939,40829118567.929695
UGC11914,-20.3,285,15.0,0.0034920374732334046,0.003504274531212898,20511621788.25571,102558108941.27855
UGC11951,-19.3,106,17.4,0.0040507634689507495,0.004067238891672632,8165823713.585939,40829118567.929695
UGC12060,-16.5,107,15.7,0.0036549992219842963,0.00366840724762027,619441075.0767812,3097205375.383906
UGC12082,-16.4,105,10.1,0.002351305231977159,0.0023568468984203838,564936974.8123034,2824684874.0615172
UGC12101,-18.5,94,15.1,0.0035153177230549605,0.0035277187753880355,3908408957.924025,19542044789.620125
UGC12276,-20.7,94,77.8,0.01811203436117059,0.018446131325569978,29648313895.243515,148241569476.2176
UGC12343,-21.1,221,26.9,0.006262387201998572,0.006301851838299631,42854852039.744095,214274260198.72046
UGC12632,-17.4,69,8.0,0.0018624199857244824,0.0018658950659866406,1419057521.6890898,7095287608.445449
UGC12754,-18.6,123,8.9,0.002071942234118487,0.002076244091940918,4285485203.9744096,21427426019.872047
