objid,ra,dec,z
1237648704046760198,198.428206426225,-0.384405699717528,0.09444475
1237648704047087753,199.178681772321,-0.369682111058061,0.08260613
1237648704047284236,199.492683646279,-0.314175008800297,0.03387971
1237648704047284237,199.493126330694,-0.310920049141687,0.03368619
1237648704047284238,199.505527410035,-0.301931085724778,0.03234835
1237648704047284273,199.49823654932,-0.295335649872222,0.03347733
1237648704047349862,199.656620662649,-0.226942560117927,0.04782268
1237648704047349875,199.662807092652,-0.343554235046098,0.08141904
1237648704047349891,199.669540284732,-0.374748342264238,0.08189316
1237648704047349927,199.706525059479,-0.412119014268247,0.08230957
1237648704047349988,199.752148939386,-0.372870530601157,0.08287931
1237648704047415410,199.784437051516,-0.338657870211038,0.081264
1237648704047677462,200.397210100331,-0.218255572858051,0.0821794
1237648704048201928,201.618284934415,-0.290361262274966,0.08008775
1237648704049840359,205.389051366992,-0.408912376583239,0.07189922
1237648704064586399,239.084794485907,-0.271211122574792,0.03941562
1237648704064586014,239.023389655352,-0.349995541493945,0.04098138
1237648704063996223,237.69710052924,-0.354782492887928,0.07795132
1237648704063734278,237.181885101849,-0.246866556738306,0.09426551
1237648704063734223,237.154881439567,-0.243845414706943,0.05480139
1237648704063734168,237.125386519884,-0.367077825091116,0.06234364
1237648704063537672,236.722554518542,-0.211411289808372,0.07762073
1237648704063537639,236.711537905831,-0.304615278286189,0.07758146
1237648704063537244,236.656909655248,-0.220672803901369,0.07805659
1237648704063406732,236.413712843761,-0.284779522670026,0.0891047
1237648704063340840,236.173157472464,-0.253610705275833,0.0301458
1237648704063209808,235.933812954015,-0.238297000877568,0.01389303
1237648704063209700,235.858974257967,-0.212300303636386,0.0790578
1237648704063144556,235.797838722221,-0.398760970310098,0.0780453
1237648704063013257,235.528196719965,-0.361419579711523,0.05446574
1237648704062685573,234.695188910109,-0.384786773082363,0.07887429
1237648704061964886,233.073926380285,-0.312344489169969,0.05153966
1237648704061964570,233.037408480901,-0.294013098607903,0.08509752
1237648704061964514,233.015435012119,-0.264592308856634,0.03664904
1237648704061833675,232.822053636629,-0.34624454053828,0.038165
1237648704061833634,232.79697547677,-0.259915129024043,0.04959126
1237648704061702521,232.558978596296,-0.215416488544465,0.08618288
1237648704061702504,232.549229623115,-0.300408089363169,0.08663638
1237648704061702472,232.526677936722,-0.323508673838119,0.07263607
1237648704061702332,232.436412011778,-0.298143084795797,0.08606336
1237648704061637125,232.406831037939,-0.280691025830767,0.08466688
1237648704061637089,232.373449563985,-0.270531272121216,0.08538774
1237648704061637034,232.343630373923,-0.263400493501197,0.07183982
1237648704061637019,232.338836309512,-0.247333729026631,0.08980984
1237648704061636967,232.313165759471,-0.269942992555776,0.08427101
1237648704061636915,232.303069732402,-0.252199436118902,0.08854482
1237648704061636906,232.299502389478,-0.226842136015497,0.07635138
1237648704061636893,232.296021815446,-0.205590761269257,0.08856682
1237648704061636884,232.281705144807,-0.358350904053851,0.0882145
1237648704061636688,232.315225125327,-0.218514600931935,0.08780144
1237648704061571450,232.2508539706,-0.386045084721022,0.08946303
1237648704061571448,232.2494650252,-0.359355581240315,0.07224432
1237648704061571409,232.22468302145,-0.306153140390378,0.08580692
1237648704061571381,232.212734160821,-0.34535743616593,0.0859554
1237648704061505849,232.047916482587,-0.306698836181483,0.06114155
1237648704061505776,232.003447813917,-0.359810974977605,0.06380635
1237648704061505695,232.101703126072,-0.23875662157421,0.04989543
1237648704061505583,232.02638593517,-0.260734896170804,0.04980367
1237648704061505546,231.972168418383,-0.384444871195098,0.06432447
1237648704061374791,231.716705843585,-0.342924694631769,0.09809822
1237648704061178094,231.218045026587,-0.372867270105352,0.06781412
1237648704061177969,231.275530612518,-0.239298559879075,0.07673342
1237648704060981634,230.870730690013,-0.386861086584098,0.02847699
1237648704060981354,230.89159883383,-0.395925931377392,0.02883187
1237648704060654085,230.15260042058,-0.220481635888058,0.07634206
1237648704060654027,230.115387570005,-0.303326022562708,0.09290738
1237648704060653973,230.084810156041,-0.336099938446529,0.07636304
1237648704060653957,230.079294039297,-0.257767388714784,0.07599573
1237648704060653903,230.028094075222,-0.215682731837421,0.07603929
1237648704060653764,230.102305375133,-0.2252260569216,0.02870046
1237648704060522809,229.819254884729,-0.3489524122446,0.05066264
1237648704060457414,229.693631686453,-0.333849945893821,0.03732303
