k,l,k,l,valid
3,46,3,46,0
4,45,4,45,0
5,44,5,44,0
6,43,6,43,0
7,42,7,42,0
8,41,8,41,0
10,39,10,39,0
12,37,12,37,0
14,35,14,35,0
18,31,18,31,0
21,28,21,28,0
26,23,26,23,0
32,17,32,17,0
39,10,39,10,0
48,1,48,1,0
2,50,2,50,0
3,49,3,49,0
4,48,4,48,0
5,47,5,47,0
6,46,6,46,0
7,45,7,45,0
8,44,8,44,0
10,42,10,42,0
12,40,12,40,0
15,37,15,37,0
18,34,18,34,0
22,30,22,30,0
27,25,27,25,0
34,18,34,18,0
41,11,41,11,0
50,2,50,2,0
2,54,2,54,0
3,53,3,53,0
4,52,4,52,0
5,51,5,51,0
6,50,6,50,0
7,49,7,49,0
9,47,9,47,0
11,45,11,45,0
13,43,13,43,0
16,40,16,40,0
19,37,19,37,0
24,32,24,32,0
29,27,29,27,0
36,20,36,20,0
44,12,44,12,0
55,1,55,1,0
2,58,2,58,0
3,57,3,57,0
4,56,4,56,0
5,55,5,55,0
6,54,6,54,0
7,53,7,53,0
9,51,9,51,0
11,49,11,49,0
13,47,13,47,0
17,43,17,43,0
20,40,20,40,0
25,35,25,35,0
31,29,31,29,0
38,22,38,22,0
47,13,47,13,0
59,1,59,1,0
2,62,2,62,0
3,61,3,61,0
4,60,4,60,0
5,59,5,59,0
6,58,6,58,0
8,56,8,56,0
9,55,9,55,0
11,53,11,53,0
14,50,14,50,0
17,47,17,47,0
21,43,21,43,0
27,37,27,37,0
33,31,33,31,0
41,23,41,23,0
50,14,50,14,0
63,1,63,1,0
2,66,2,66,0
3,65,3,65,0
4,64,4,64,0
5,63,5,63,0
6,62,6,62,0
8,60,8,60,0
10,58,10,58,0
12,56,12,56,0
15,53,15,53,0
18,50,18,50,0
22,46,22,46,0
28,40,28,40,0
35,33,35,33,0
43,25,43,25,0
53,15,53,15,0
67,1,67,1,0
2,71,2,71,0
3,70,3,70,0
4,69,4,69,0
5,68,5,68,0
7,66,7,66,0
8,65,8,65,0
10,63,10,63,0
12,61,12,61,0
15,58,15,58,0
19,54,19,54,0
24,49,24,49,0
29,44,29,44,0
37,36,37,36,0
46,27,46,27,0
57,16,57,16,0
71,2,71,2,0
2,76,2,76,0
3,75,3,75,0
4,74,4,74,0
5,73,5,73,0
7,71,7,71,0
8,70,8,70,0
10,68,10,68,0
13,65,13,65,0
16,62,16,62,0
20,58,20,58,0
25,53,25,53,0
31,47,31,47,0
39,39,39,39,0
49,29,49,29,0
61,17,61,17,0
77,1,77,1,0
2,82,2,82,0
3,81,3,81,0
4,80,4,80,0
5,79,5,79,0
6,78,6,78,0
7,77,7,77,0
9,75,9,75,0
11,73,11,73,0
13,71,13,71,0
17,67,17,67,0
21,63,21,63,0
26,58,26,58,0
33,51,33,51,0
41,43,41,43,0
52,32,52,32,0
66,18,66,18,0
83,1,83,1,0
2,88,2,88,0
3,87,3,87,0
4,86,4,86,0
5,85,5,85,0
6,84,6,84,0
7,83,7,83,0
9,81,9,81,0
11,79,11,79,0
14,76,14,76,0
17,73,17,73,0
22,68,22,68,0
28,62,28,62,0
35,55,35,55,0
44,46,44,46,0
55,35,55,35,0
70,20,70,20,0
89,1,89,1,0
2,94,2,94,0
3,93,3,93,0
4,92,4,92,0
5,91,5,91,0
6,90,6,90,0
7,89,7,89,0
9,87,9,87,0
11,85,11,85,0
14,82,14,82,0
18,78,18,78,0
23,73,23,73,0
29,67,29,67,0
37,59,37,59,0
46,50,46,50,0
59,37,59,37,0
75,21,75,21,0
94,2,94,2,0
2,100,2,100,0
3,99,3,99,0
4,98,4,98,0
5,97,5,97,0
6,96,6,96,0
7,95,7,95,0
9,93,9,93,0
12,90,12,90,0
15,87,15,87,0
19,83,19,83,0
24,78,24,78,0
30,72,30,72,0
38,64,38,64,0
49,53,49,53,3
62,40,62,40,3
79,23,79,23,0
101,1,101,1,0
2,108,2,108,0
3,107,3,107,0
4,106,4,106,0
5,105,5,105,0
6,104,6,104,0
8,102,8,102,0
10,100,10,100,0
12,98,12,98,0
16,94,16,94,0
20,90,20,90,0
25,85,25,85,0
32,78,32,78,0
41,69,41,69,3
52,58,52,58,3
66,44,66,44,3
85,25,85,25,0
109,1,109,1,0
2,115,2,115,0
3,114,3,114,0
4,113,4,113,0
5,112,5,112,0
6,111,6,111,0
8,109,8,109,0
10,107,10,107,0
13,104,13,104,0
16,101,16,101,0
21,96,21,96,0
26,91,26,91,0
33,84,33,84,0
43,74,43,74,3
55,62,55,62,3
70,47,70,47,3
90,27,90,27,0
116,1,116,1,0
2,123,2,123,0
3,122,3,122,0
4,121,4,121,0
5,120,5,120,0
6,119,6,119,0
8,117,8,117,0
10,115,10,115,0
13,112,13,112,0
17,108,17,108,0
21,104,21,104,0
27,98,27,98,0
35,90,35,90,3
45,80,45,80,3
58,67,58,67,3
75,50,75,50,3
96,29,96,29,0
124,1,124,1,0
2,132,2,132,0
3,131,3,131,0
4,130,4,130,0
5,129,5,129,0
7,127,7,127,0
8,126,8,126,0
11,123,11,123,0
14,120,14,120,0
17,117,17,117,0
22,112,22,112,0
29,105,29,105,0
37,97,37,97,3
48,86,48,86,3
62,72,62,72,3
79,55,79,55,3
103,31,103,31,3
133,1,133,1,0
2,141,2,141,0
3,140,3,140,0
4,139,4,139,0
5,138,5,138,0
7,136,7,136,0
9,134,9,134,0
11,132,11,132,0
14,129,14,129,0
18,125,18,125,0
23,120,23,120,0
30,113,30,113,0
39,104,39,104,3
50,93,50,93,3
65,78,65,78,3
84,59,84,59,3
109,34,109,34,3
141,2,141,2,0
2,151,2,151,0
3,150,3,150,0
4,149,4,149,0
5,148,5,148,0
7,146,7,146,0
9,144,9,144,0
11,142,11,142,0
15,138,15,138,0
19,134,19,134,0
24,129,24,129,0
31,122,31,122,3
41,112,41,112,3
53,100,53,100,3
69,84,69,84,3
90,63,90,63,3
116,37,116,37,3
151,2,151,2,0
2,162,2,162,0
3,161,3,161,0
4,160,4,160,0
5,159,5,159,0
7,157,7,157,0
9,155,9,155,0
12,152,12,152,0
15,149,15,149,0
20,144,20,144,0
25,139,25,139,0
33,131,33,131,3
43,121,43,121,3
56,108,56,108,3
73,91,73,91,3
95,69,95,69,3
124,40,124,40,3
162,2,162,2,0
2,173,2,173,0
3,172,3,172,0
4,171,4,171,0
6,169,6,169,0
7,168,7,168,0
9,166,9,166,0
12,163,12,163,0
16,159,16,159,0
20,155,20,155,0
26,149,26,149,0
34,141,34,141,3
45,130,45,130,3
59,116,59,116,3
77,98,77,98,3
101,74,101,74,3
132,43,132,43,3
174,1,174,1,0
2,186,2,186,0
3,185,3,185,0
4,184,4,184,0
6,182,6,182,0
7,181,7,181,0
10,178,10,178,0
12,176,12,176,0
16,172,16,172,0
21,167,21,167,0
28,160,28,160,3
36,152,36,152,3
48,140,48,140,3
62,126,62,126,3
82,106,82,106,3
108,80,108,80,3
142,46,142,46,3
187,1,187,1,0
2,199,2,199,0
3,198,3,198,0
4,197,4,197,0
5,196,5,196,0
6,195,6,195,0
8,193,8,193,0
10,191,10,191,0
13,188,13,188,0
17,184,17,184,0
22,179,22,179,0
29,172,29,172,3
38,163,38,163,3
50,151,50,151,3
66,135,66,135,3
87,114,87,114,3
114,87,114,87,3
151,50,151,50,3
200,1,200,1,0
2,213,2,213,0
3,212,3,212,0
4,211,4,211,0
5,210,5,210,0
6,209,6,209,0
8,207,8,207,0
10,205,10,205,0
13,202,13,202,0
17,198,17,198,0
23,192,23,192,0
30,185,30,185,3
40,175,40,175,3
52,163,52,163,3
69,146,69,146,3
92,123,92,123,3
122,93,122,93,3
161,54,161,54,3
213,2,213,2,0
2,228,2,228,0
3,227,3,227,0
4,226,4,226,0
5,225,5,225,0
6,224,6,224,0
8,222,8,222,0
10,220,10,220,0
14,216,14,216,0
18,212,18,212,0
24,206,24,206,3
31,199,31,199,3
42,188,42,188,3
55,175,55,175,3
73,157,73,157,3
97,133,97,133,3
129,101,129,101,3
172,58,172,58,3
229,1,229,1,0
2,244,2,244,0
3,243,3,243,0
4,242,4,242,0
5,241,5,241,0
6,240,6,240,0
8,238,8,238,0
11,235,11,235,0
14,232,14,232,0
19,227,19,227,0
25,221,25,221,3
33,213,33,213,3
44,202,44,202,3
58,188,58,188,3
77,169,77,169,3
103,143,103,143,3
137,109,137,109,3
183,63,183,63,3
245,1,245,1,0
2,261,2,261,0
3,260,3,260,0
4,259,4,259,0
5,258,5,258,0
6,257,6,257,0
8,255,8,255,0
11,252,11,252,0
14,249,14,249,0
19,244,19,244,0
26,237,26,237,3
34,229,34,229,3
46,217,46,217,3
61,202,61,202,3
81,182,81,182,3
109,154,109,154,3
146,117,146,117,3
195,68,195,68,3
261,2,261,2,0
2,279,2,279,0
3,278,3,278,0
4,277,4,277,0
5,276,5,276,0
6,275,6,275,0
8,273,8,273,0
11,270,11,270,0
15,266,15,266,0
20,261,20,261,0
27,254,27,254,3
36,245,36,245,3
48,233,48,233,3
64,217,64,217,3
86,195,86,195,3
115,166,115,166,3
155,126,155,126,3
208,73,208,73,3
279,2,279,2,0
2,299,2,299,0
3,298,3,298,0
4,297,4,297,0
5,296,5,296,0
7,294,7,294,0
9,292,9,292,0
12,289,12,289,0
15,286,15,286,0
21,280,21,280,0
28,273,28,273,3
37,264,37,264,3
50,251,50,251,3
67,234,67,234,3
91,210,91,210,3
122,179,122,179,3
165,136,165,136,3
222,79,222,79,3
299,2,299,2,0
